ProductCode	MasterProductCode	ProductName	ProductAlternateName	UPC	SKU	ProductDescription	ProductAlternateDescription	ManufacturerCode	ManufacturerName	ManufacturerAlternateName	ProductHierarchyLevel1Code	ProductHierarchyLevel1Name	ProductHierarchyLevel1AlternateName	ProductHierarchyLevel2Code	ProductHierarchyLevel2Name	ProductHierarchyLevel2AlternateName	ProductHierarchyLevel3Code	ProductHierarchyLevel3Name	ProductHierarchyLevel3AlternateName	ProductHierarchyLevel4Code	ProductHierarchyLevel4Name	ProductHierarchyLevel4AlternateName	ProductHierarchyLevel5Code	ProductHierarchyLevel5Name	ProductHierarchyLevel5AlternateName	BrandHierarchyLevel1Code	BrandHierarchyLevel1Name	BrandHierarchyLevel1AlternateName	BrandHierarchyLevel2Code	BrandHierarchyLevel2Name	BrandHierarchyLevel2AlternateName	ProductUnitSizeCode	ProductUnitSizeName	ProductUnitSizeAlternateName	ProductUnitSize	ProductUnitUOM	PackageType	PackageSize	PackageUOM	PackageUnits	IsControlLabel	ProductCustomAttribute1Name	ProductCustomAttribute1Value	ProductCustomAttribute1AlternateValue	ProductCustomAttribute2Name	ProductCustomAttribute2Value	ProductCustomAttribute2AlternateValue	ProductCustomAttribute3Name	ProductCustomAttribute3Value	ProductCustomAttribute3AlternateValue	ProductCustomAttribute4Name	ProductCustomAttribute4Value	ProductCustomAttribute4AlternateValue	ProductCustomAttribute5Name	ProductCustomAttribute5Value	ProductCustomAttribute5AlternateValue	ProductCustomAttribute6Name	ProductCustomAttribute6Value	ProductCustomAttribute6AlternateValue	ProductCustomAttribute7Name	ProductCustomAttribute7Value	ProductCustomAttribute7AlternateValue	ProductCustomAttribute8Name	ProductCustomAttribute8Value	ProductCustomAttribute8AlternateValue	ProductCustomAttribute9Name	ProductCustomAttribute9Value	ProductCustomAttribute9AlternateValue	ProductCustomAttribute10Name	ProductCustomAttribute10Value	ProductCustomAttribute10AlternateValue	VendorCode	VendorName	LargeClusterStatus	MediumClusterStatus	SmallClusterStatus	EqualizedUnitsConversionFactor
1	1	A item not selling in a region	 item not selling in a regionA-ay	400022201	321-1	A item not selling in a region	 item not selling in a regionA-ay	M1	ACME	CMEA-ay	ABCDZ	ABCDZ	BCDZA-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.3	C8.3	8.3C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	9
2	2	A item everywhere	 item everywhereA-ay	400022202	321-2	A item everywhere	 item everywhereA-ay	M2	Nestle	estleN-ay	ABCDZ	ABCDZ	BCDZA-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Brand One	Brand One	rand OneB-ay	Brand One Regular	Brand One Regular	rand One RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.2	C3.2	3.2C-ay	C4.2	C4.2	4.2C-ay	C5.3	C5.3	5.3C-ay	C6.2	C6.2	6.2C-ay	C7.3	C7.3	7.3C-ay	C8.2	C8.2	8.2C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Core	Core	Core	9
3	3	Mixed VG's per region	ixed VG's per regionM-ay	400022203	321-3	Mixed VG's per region	ixed VG's per regionM-ay	M3	Unilever	nileverU-ay	ABCDZ	ABCDZ	BCDZA-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Special	Special	pecialS-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.3	C4.3	4.3C-ay	C5.2	C5.2	5.2C-ay	C6.3	C6.3	6.3C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	9
4	4	32	23-ay	400022204	321-4	32	23-ay	M1	ACME	CMEA-ay	ABCDZ	ABCDZ	BCDZA-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Brand Two	Brand Two	rand TwoB-ay	Brand Two Regular	Brand Two Regular	rand Two RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.3	C3.3	3.3C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.4	C6.4	6.4C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.3	C9.3	9.3C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	1
5	5	24334	43342-ay	400022205	321-5	24334	43342-ay	M2	Nestle	estleN-ay	ABCDZ	ABCDZ	BCDZA-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.2	1.2C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.4	C7.4	7.4C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Core	Core	Core	0
6	6	645373	453736-ay	400022206	321-6	645373	453736-ay	M3	Unilever	nileverU-ay	ABCDZ	ABCDZ	BCDZA-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.4	C4.4	4.4C-ay	C5.3	C5.3	5.3C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.3	C8.3	8.3C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	4
7	7	6636734	6367346-ay	400022207	321-7	6636734	6367346-ay	M3	Unilever	nileverU-ay	ABCDZ	ABCDZ	BCDZA-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Nationals	Nationals	ationalsN-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.2	C8.2	8.2C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core		9
8	8	546345	463455-ay	400022208	321-8	546345	463455-ay	M3	Unilever	nileverU-ay	ABCDZ	ABCDZ	BCDZA-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.2	C7.2	7.2C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	9
9	9	414323	143234-ay	400022209	321-9	414323	143234-ay	M1	ACME	CMEA-ay	ABCDZ	ABCDZ	BCDZA-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	8
10	10	Regional C item	egional C itemR-ay	4000222010	321-10	Regional C item	egional C itemR-ay	M1	ACME	CMEA-ay	ABCDZ	ABCDZ	BCDZA-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Regionals	Regionals	egionalsR-ay	Brand Two	Brand Two	rand TwoB-ay	Brand Two Regular	Brand Two Regular	rand Two RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core		3
